iter	Logloss
0	0.6699690533
1	0.6504492572
2	0.6319540905
3	0.6184759784
4	0.601809041
5	0.5868073036
6	0.5747283154
7	0.5646200028
8	0.5561878493
9	0.5446349041
10	0.5303847025
11	0.5212350591
12	0.5115546571
13	0.5005980878
14	0.4948073823
15	0.4900761007
16	0.4841285104
17	0.4794606335
18	0.475694798
19	0.4669510708
20	0.4614469962
21	0.4566520771
22	0.4525304062
23	0.4463474424
24	0.4360379132
25	0.4307445679
26	0.4244796722
27	0.4199573818
28	0.417365346
29	0.4130929796
30	0.406646881
31	0.4001467141
32	0.3965262034
33	0.393057149
34	0.3899248308
35	0.3846575658
36	0.3794583097
37	0.3750276126
38	0.3692125711
39	0.3647568283
40	0.3591954788
41	0.3565029294
42	0.3544988164
43	0.3514956906
44	0.3470327038
45	0.3435833439
46	0.3411408617
47	0.3390469888
48	0.336347479
49	0.3343658693
50	0.3317239537
51	0.3291311384
52	0.3267101487
53	0.3230658365
54	0.3186519052
55	0.3145302624
56	0.3105602926
57	0.3079005569
58	0.3062361317
59	0.3044718647
60	0.3031114767
61	0.3008920729
62	0.2990925277
63	0.2974993216
64	0.2946846798
65	0.2920205697
66	0.2897984265
67	0.2859709778
68	0.2842358324
69	0.2827419169
70	0.2807418185
71	0.2784156604
72	0.2764899693
73	0.2738704185
74	0.2706022117
75	0.2678277659
76	0.266658188
77	0.2650133066
78	0.2632451183
79	0.2600737735
80	0.2590107542
81	0.2571751132
82	0.254028903
83	0.2519579307
84	0.2484636124
85	0.2469208852
86	0.2455498849
87	0.2444735592
88	0.2435311293
89	0.2427480846
90	0.2412388652
91	0.240422626
92	0.239249991
93	0.2371681669
94	0.2351519259
95	0.2338279769
96	0.232307449
97	0.2313170842
98	0.229117306
99	0.2275435166
100	0.2268618752
101	0.2247560545
102	0.2236911432
103	0.2227175294
104	0.2218395694
105	0.221145171
106	0.219321476
107	0.217942128
108	0.216349401
109	0.2153479608
110	0.2143268679
111	0.2134298488
112	0.2128133519
113	0.2115466342
114	0.2103573881
115	0.209040128
116	0.2072977894
117	0.2054979646
118	0.204492462
119	0.2030923305
120	0.2023811201
121	0.2009884258
122	0.1985154853
123	0.1972734532
124	0.1961878681
125	0.1952487558
126	0.1942326167
127	0.1934357434
128	0.1922521207
129	0.1911310944
130	0.1901546954
131	0.1894604726
132	0.1885921729
133	0.1878407678
134	0.186512368
135	0.1853321175
136	0.1834819203
137	0.1828445685
138	0.1822757973
139	0.1811910432
140	0.1798688781
141	0.1791293043
142	0.1781664778
143	0.1773033444
144	0.1759884015
145	0.1735143972
146	0.1721288442
147	0.1713197013
148	0.1701459612
149	0.1698230036
150	0.1689806252
151	0.1679929265
152	0.1672603049
153	0.1667838478
154	0.166320106
155	0.1656764307
156	0.1650253314
157	0.1644464449
158	0.1628378769
159	0.1624191921
160	0.1617523527
161	0.160974289
162	0.160190074
163	0.1595141677
164	0.158057361
165	0.156969826
166	0.1554409754
167	0.1550005705
168	0.1541935429
169	0.153813267
170	0.1532913805
171	0.1522195659
172	0.1514956205
173	0.1507807442
174	0.1503818272
175	0.1498905927
176	0.1495174285
177	0.1488475091
178	0.1482420108
179	0.147650687
180	0.1472450548
181	0.1467068906
182	0.1462240756
183	0.1457294127
184	0.1449193783
185	0.1442826897
186	0.1432898438
187	0.1425766889
188	0.1416860945
189	0.1411857991
190	0.1407652637
191	0.1402395506
192	0.1395689154
193	0.1390781104
194	0.1385728086
195	0.138010095
196	0.1371822325
197	0.1360893208
198	0.1350361556
199	0.134442303
200	0.1336270395
201	0.13342631
202	0.1326886843
203	0.1320513932
204	0.131489454
205	0.130796042
206	0.1303006076
207	0.1298710957
208	0.129431248
209	0.1289285801
210	0.1286440482
211	0.1282678224
212	0.1271164222
213	0.1263474149
214	0.1257196385
215	0.12526106
216	0.1247530544
217	0.1241429472
218	0.1236560631
219	0.1230126634
220	0.1223383786
221	0.1214254935
222	0.1209063508
223	0.1206573251
224	0.1202984935
225	0.1200195559
226	0.1196884519
227	0.1191838989
228	0.1187686081
229	0.1183600735
230	0.1177224669
231	0.1173661267
232	0.1172215497
233	0.1167346742
234	0.1163747245
235	0.1160363918
236	0.1154327776
237	0.1149855138
238	0.1146273359
239	0.1143423921
240	0.1140926229
241	0.1138958335
242	0.1136658627
243	0.1129805591
244	0.1122854529
245	0.1120345227
246	0.1118427486
247	0.1113443977
248	0.1108501998
249	0.1104700588
250	0.1102501712
251	0.1097382266
252	0.1095509945
253	0.1090318312
254	0.1084389777
255	0.1078721317
256	0.1074727969
257	0.1072591923
258	0.1071028433
259	0.1065895769
260	0.1062947544
261	0.1055027304
262	0.1050711228
263	0.1046327165
264	0.1043167048
265	0.1041081749
266	0.1035305287
267	0.102854708
268	0.1025988187
269	0.1021516169
270	0.1019691081
271	0.1015471535
272	0.1012145442
273	0.1009808868
274	0.1007578872
275	0.100432059
276	0.1001683939
277	0.09995429025
278	0.09954334357
279	0.09937525036
280	0.09909583729
281	0.09834449013
282	0.09807199773
283	0.09760639649
284	0.09736222535
285	0.09705836512
286	0.09671686875
